"","Actor1CountryCode","Actor2CountryCode","AvgTone","NumArticles","SQLDATE","Year","Actor1Geo_Lat","Actor1Geo_Long","ActionGeo_CountryCode","EventCode","EventRootCode","Actor1Geo_CountryCode","Actor2Geo_CountryCode","SOURCEURL"
"1",NA,NA,"-6.73758865248227","2","20160520","2016",NA,NA,"SY","191","19",NA,"KV","http://www.business-standard.com/article/pti-stories/kosovo-jails-is-recruiter-six-associates-116052001580_1.html"
"2",NA,"SYR","-6.95053224796493","1","20160520","2016",NA,NA,"SY","190","19",NA,"RS","http://en.farsnews.com/newstext.aspx?nn=13950231000179"
"3",NA,"USA","-5.11658319173732","10","20160520","2016",NA,NA,"SY","195","19",NA,"SY","http://rinf.com/alt-news/newswire/obama-plays-a-dove-in-nprs-historical-fiction/"
"4",NA,NA,"-6.98915009041591","4","20160520","2016",NA,NA,"SY","191","19",NA,"SY","http://www.naharnet.com/stories/en/209759-kosovo-jails-is-recruiter-six-associates"
"5",NA,NA,"-6.11620795107033","10","20160520","2016",NA,NA,"SY","190","19",NA,"TU","http://bianet.org/english/diger/174986-hrw-turkey-should-open-borders-to-refugees"
"6",NA,"IDN","-6.95053224796493","2","20160520","2016",NA,NA,"SY","190","19",NA,"ID","http://en.farsnews.com/newstext.aspx?nn=13950231000179"
"7",NA,"SYR","-0.9009009009009","1","20160520","2016",NA,NA,"SY","186","18",NA,"SY","http://www.weeklystandard.com/how-iran-shapes-hezbollah/article/2002495"
"8",NA,"SYR","-2.51450676982592","2","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://www.worldbulletin.net/headlines/172934/coalition-flyers-urge-residents-to-quit-isil-bastion-in-syria"
"9",NA,"SYR","-5.70383647703749","48","20160520","2016",NA,NA,"SY","192","19",NA,"SY","http://www.1490wosh.com/news/isis-fast-facts/"
"10",NA,NA,"-4.11744006810328","21","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://en.farsnews.com/newstext.aspx?nn=13950231000179"
"11",NA,"IRQ","-5.70383647703749","16","20160520","2016",NA,NA,"SY","192","19",NA,"SY","http://www.1490wosh.com/news/isis-fast-facts/"
"12",NA,NA,"-4.45192183253527","3","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://www.newageislam.com/islamic-world-news/new-age-islam-news-bureau/bangladesh-village-doctor-hacked-to-death-in-suspected-islamist-attack/d/107366"
"13",NA,"BGD","-4.45192183253527","1","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://www.newageislam.com/islamic-world-news/new-age-islam-news-bureau/bangladesh-village-doctor-hacked-to-death-in-suspected-islamist-attack/d/107366"
"14",NA,"IRQ","-5.70383647703749","16","20160520","2016",NA,NA,"SY","192","19",NA,"SY","http://www.1490wosh.com/news/isis-fast-facts/"
"15",NA,"SYR","-3.07434320849637","1","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://schema-root.org/region/africa/north_africa/sudan/states/al_khartum/municipalities/khartoum/suburbs/"
"16",NA,"SYR","-3.10744404836172","13","20160520","2016",NA,NA,"SY","193","19",NA,"SY","http://english.sina.com/news/2016-05-20/doc-ifxsktvr1010440.shtml"
"17",NA,"SYR","-4.58015267175573","4","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://aranews.net/2016/05/kurdish-female-fighters-combatting-al-qaeda-aleppo/"
"18",NA,"SYR","-4.58015267175573","1","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://aranews.net/2016/05/kurdish-female-fighters-combatting-al-qaeda-aleppo/"
"19",NA,NA,"-4.58015267175573","10","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://aranews.net/2016/05/kurdish-female-fighters-combatting-al-qaeda-aleppo/"
"20",NA,NA,"-2.38970588235294","4","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://www.memri.org/report/en/0/0/0/0/0/0/9210.htm"
"21",NA,"SYR","-5.11440107671602","10","20160520","2016",NA,NA,"SY","1822","18",NA,"SY","https://www.journalism.cuny.edu/2015/10/freelancer-issam-khoury-from-syria-is-the-new-international-journalist-in-residence/"
"22",NA,NA,"-8.09399477806789","10","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://www.arabnews.com/node/927466/middle-east"
"23",NA,NA,"-9.67741935483873","6","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://www.aina.org/news/20160519173836.htm"
"24",NA,"SYR","-9.67741935483873","2","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://www.aina.org/news/20160519173836.htm"
"25",NA,"SYR","-3.37250627872815","2","20160520","2016",NA,NA,"SY","193","19",NA,"SY","http://news.xinhuanet.com/english/2016-05/20/c_135375262.htm"
"26",NA,"SYR","-2.99078745338891","2","20160520","2016",NA,NA,"SY","193","19",NA,"SY","http://english.sina.com/news/2016-05-20/doc-ifxsktvr1010440.shtml"
"27",NA,NA,"-8.1841432225064","3","20160520","2016",NA,NA,"SY","190","19",NA,"SY","http://www.islamicinvitationturkey.com/2016/05/20/syrian-army-in-full-control-of-southern-strip-of-eastern-ghouta/"
"28","DEU","DEU","-1.57819225251076","2","20160520","2016","51","9","SY","194","19","GM","GM","http://www.thenews.com.pk/print/121305-Refugee-integration-in-Turkey"
"29","DEU","TUR","-1.57819225251076","2","20160520","2016","51","9","SY","194","19","GM","TU","http://www.thenews.com.pk/print/121305-Refugee-integration-in-Turkey"
"30","DEU","TUR","-1.57819225251076","4","20160520","2016","51","9","SY","194","19","GM","TU","http://www.thenews.com.pk/print/121305-Refugee-integration-in-Turkey"
"31","TUR","IRN","-1.98027902692088","2","20160520","2016","32","53","SY","190","19","IR","SY","http://www.theguardian.com/film/2016/may/20/peshmerga-review-bernard-henri-levy-cannes-2016"
"32","IRN","SYR","-2.32558139534884","8","20160520","2016","32","53","SY","194","19","IR","SY","http://www.american-reporter.com/5,435/180.html"
"33","SYR",NA,"-6.20785313319245","9","20160513","2016","32","53","SY","190","19","IR","SY","http://in.reuters.com/article/us-hezbollah-syria-commentary-idINKCN0YA1U7"
"34","IRN","SYR","-6.31031606125692","3","20160520","2016","32","53","SY","190","19","IR","SY","http://www.middleeasteye.net/news/hezbollah-send-more-fighters-syria-nasrallah-1127997499"
